Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Seo Title,Seo Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
generic-bachelors-matte no pleats-white,Generic Bachelors Cap and Gown matte no pleats with white tassel,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,"""generic, parent""",TRUE,Height,"4'6"" - 4'8""",Fit,Standard,,,UBC0171S39T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022P8J0Z,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_1.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
generic-bachelors-matte no pleats-white,,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,,TRUE,Height,"4'9"" - 4'11""",Fit,Standard,,,UBC0171S42T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022OD69F,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_0.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
generic-bachelors-matte no pleats-white,,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,,TRUE,Height,"5'0"" - 5'2""",Fit,Standard,,,UBC0171S45T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022OD68B,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_1.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
generic-bachelors-matte no pleats-white,,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,,TRUE,Height,"5'3"" - 5'5""",Fit,Standard,,,UBC0171S48T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022NEDSJ,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_0.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
generic-bachelors-matte no pleats-white,,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,,TRUE,Height,"5'6"" - 5'8""",Fit,Standard,,,UBC0171S51T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022P8KGD,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_1.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
generic-bachelors-matte no pleats-white,,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,,TRUE,Height,"5'9"" - 5'11""",Fit,Standard,,,UBC0171S54T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022P8EAF,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_0.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
generic-bachelors-matte no pleats-white,,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,,TRUE,Height,"6'0"" - 6'2""",Fit,Standard,,,UBC0171S57T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022NEA3H,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_1.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
generic-bachelors-matte no pleats-white,,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,,TRUE,Height,"6'3"" - 6'5""",Fit,Standard,,,UBC0171S60T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022R26VB,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_0.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
generic-bachelors-matte no pleats-white,,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,,TRUE,Height,"6'6"" - 6'8""",Fit,Standard,,,UBC0171S63T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022R2CB5,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_1.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
generic-bachelors-matte no pleats-white,,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,,TRUE,Height,"4'6"" - 4'8""",Fit,Full,,,UBC0171F39T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022S1TDB,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_0.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
generic-bachelors-matte no pleats-white,,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,,TRUE,Height,"4'9"" - 4'11""",Fit,Full,,,UBC0171F42T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022S1UNP,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_1.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
generic-bachelors-matte no pleats-white,,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,,TRUE,Height,"5'0"" - 5'2""",Fit,Full,,,UBC0171F45T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022P8J0P,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_0.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
generic-bachelors-matte no pleats-white,,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,,TRUE,Height,"5'3"" - 5'5""",Fit,Full,,,UBC0171F48T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022R2CBP,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_1.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
generic-bachelors-matte no pleats-white,,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,,TRUE,Height,"5'6"" - 5'8""",Fit,Full,,,UBC0171F51T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022OD2OT,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_0.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
generic-bachelors-matte no pleats-white,,This is a generic bachelors cap and gown (matte no pleats) paired with a white tassel.,GradStreet,generic gown bundle,,TRUE,Height,"5'9"" - 5'11""",Fit,Full,,,UBC0171F54T01040000K01,550,shopify,,deny,manual,34.99,,TRUE,TRUE,X0022NEDC5,https://cdn.shopify.com/s/files/1/1766/6171/files/104000_1.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
