Pallet Number,Box Number,Label
1,1,Pallet Label 1
1,2,Pallet Label 1
1,3,Pallet Label 1
1,4,Pallet Label 1
1,5,Pallet Label 1
1,6,Pallet Label 1
1,7,Pallet Label 1
1,8,Pallet Label 1
1,9,Pallet Label 1
1,10,Pallet Label 1
1,11,Pallet Label 1
1,12,Pallet Label 1
1,13,Pallet Label 1
1,14,Pallet Label 1
1,15,Pallet Label 1
1,16,Pallet Label 1
1,17,Pallet Label 1
1,18,Pallet Label 1
1,19,Pallet Label 1
1,20,Pallet Label 1
1,21,Pallet Label 1
1,22,Pallet Label 1
1,23,Pallet Label 1
1,24,Pallet Label 1
2,25,Pallet Label 2
2,26,Pallet Label 2
2,27,Pallet Label 2
2,28,Pallet Label 2
2,29,Pallet Label 2
2,30,Pallet Label 2
2,31,Pallet Label 2
2,32,Pallet Label 2
2,33,Pallet Label 2
2,34,Pallet Label 2
2,35,Pallet Label 2
2,36,Pallet Label 2
2,37,Pallet Label 2
2,38,Pallet Label 2
2,39,Pallet Label 2
2,40,Pallet Label 2
2,41,Pallet Label 2
2,42,Pallet Label 2
2,43,Pallet Label 2
2,44,Pallet Label 2
2,45,Pallet Label 2
2,46,Pallet Label 2
2,47,Pallet Label 2
2,48,Pallet Label 2
3,49,Pallet Label 3
3,50,Pallet Label 3
3,51,Pallet Label 3
3,52,Pallet Label 3
3,53,Pallet Label 3
3,54,Pallet Label 3
3,55,Pallet Label 3
3,56,Pallet Label 3
3,57,Pallet Label 3
3,58,Pallet Label 3
3,59,Pallet Label 3
3,60,Pallet Label 3
3,61,Pallet Label 3
3,62,Pallet Label 3
3,63,Pallet Label 3
3,64,Pallet Label 3
3,65,Pallet Label 3
3,66,Pallet Label 3
3,67,Pallet Label 3
3,68,Pallet Label 3
3,69,Pallet Label 3
3,70,Pallet Label 3
3,71,Pallet Label 3
