Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Seo Title,Seo Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
csusb-bachelors-cap-and-gown,CSUSB Bachelors Cap and Gown,"We're not associated with CSUSB. That's the point! This cap, gown, and tassel package is exactly what you'd get at the bookstore, for way less!",GradStreet,gown bundle,"bachelors, bachelors-all, meta-related-collection-graduation-accessories",TRUE,Height,"4'6""-4'8""",Fit,Standard,,,UBC0171S39T00170000K01,550,shopify,deny,manual,24.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1766/6171/files/017000_0.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
csusb-bachelors-cap-and-gown,,"We're not associated with CSUSB. That's the point! This cap, gown, and tassel package is exactly what you'd get at the bookstore, for way less!",GradStreet,gown bundle,,TRUE,Height,"4'6""-4'8""",Fit,Full,,,UBC0171F39T00170000K01,550,shopify,deny,manual,24.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1766/6171/files/017000_1.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
csusb-bachelors-cap-and-gown,,"We're not associated with CSUSB. That's the point! This cap, gown, and tassel package is exactly what you'd get at the bookstore, for way less!",GradStreet,gown bundle,,TRUE,Height,"4'9""-4'11""",Fit,Standard,,,UBC0171S42T00170000K01,550,shopify,deny,manual,24.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1766/6171/files/017000_0.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
csusb-bachelors-cap-and-gown,,"We're not associated with CSUSB. That's the point! This cap, gown, and tassel package is exactly what you'd get at the bookstore, for way less!",GradStreet,gown bundle,,TRUE,Height,"4'9""-4'11""",Fit,Full,,,UBC0171F42T00170000K01,550,shopify,deny,manual,24.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1766/6171/files/017000_1.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
csusb-bachelors-cap-and-gown,,"We're not associated with CSUSB. That's the point! This cap, gown, and tassel package is exactly what you'd get at the bookstore, for way less!",GradStreet,gown bundle,,TRUE,Height,"5'0""-5'2""",Fit,Standard,,,UBC0171S45T00170000K01,550,shopify,deny,manual,24.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1766/6171/files/017000_0.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
csusb-bachelors-cap-and-gown,,"We're not associated with CSUSB. That's the point! This cap, gown, and tassel package is exactly what you'd get at the bookstore, for way less!",GradStreet,gown bundle,,TRUE,Height,"5'0""-5'2""",Fit,Full,,,UBC0171F45T00170000K01,550,shopify,deny,manual,24.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1766/6171/files/017000_1.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
csusb-bachelors-cap-and-gown,,"We're not associated with CSUSB. That's the point! This cap, gown, and tassel package is exactly what you'd get at the bookstore, for way less!",GradStreet,gown bundle,,TRUE,Height,"5'3""-5'5""",Fit,Standard,,,UBC0171S48T00170000K01,550,shopify,deny,manual,24.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1766/6171/files/017000_0.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
csusb-bachelors-cap-and-gown,,"We're not associated with CSUSB. That's the point! This cap, gown, and tassel package is exactly what you'd get at the bookstore, for way less!",GradStreet,gown bundle,,TRUE,Height,"5'3""-5'5""",Fit,Full,,,UBC0171F48T00170000K01,550,shopify,deny,manual,24.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1766/6171/files/017000_1.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
csusb-bachelors-cap-and-gown,,"We're not associated with CSUSB. That's the point! This cap, gown, and tassel package is exactly what you'd get at the bookstore, for way less!",GradStreet,gown bundle,,TRUE,Height,"5'6""-5'8""",Fit,Standard,,,UBC0171S51T00170000K01,550,shopify,deny,manual,24.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1766/6171/files/017000_0.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
csusb-bachelors-cap-and-gown,,"We're not associated with CSUSB. That's the point! This cap, gown, and tassel package is exactly what you'd get at the bookstore, for way less!",GradStreet,gown bundle,,TRUE,Height,"5'6""-5'8""",Fit,Full,,,UBC0171F51T00170000K01,550,shopify,deny,manual,24.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1766/6171/files/017000_1.jpg?4286832225318832821,,,FALSE,,,,,,,,,,,,,,,,,kg,,
