GradStreet 2019,,,,,,,,
MANUAL PACKING GUIDE v1,,,,,,,,
,,,,,,,,
* partially full box,,,,,,Barcode SKU,,
BOX NUMBER,Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,GradStreet SKU,FNSKU,Packaging,Labels
1,1,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 006",ALL YEAR TAGS,UBC0171S42T00060000K01,X0022NE9LZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,1,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 017",ALL YEAR TAGS,UBC0171S42T00170000K01,X0022S1TD1,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,1,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 017+031",ALL YEAR TAGS,UBC0171S42T00170310K01,X0022Q774D,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,2,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 019",ALL YEAR TAGS,UBC0171S42T00190000K01,X0022P8HWF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,1,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S42T00250190K01,X0022P881Z,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,2,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 42","Tassel, color 104",ALL YEAR TAGS,UBC0171S42T01040000K01,X0022OD69F,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,2,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 006",ALL YEAR TAGS,UBC0171S45T00060000K01,X0022NEDTD,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,4,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 017",ALL YEAR TAGS,UBC0171S45T00170000K01,X0022P8EAZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,2,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 017+031",ALL YEAR TAGS,UBC0171S45T00170310K01,X0022OD69P,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,5,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 019",ALL YEAR TAGS,UBC0171S45T00190000K01,X0022S1TCR,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,3,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S45T00250190K01,X0022P8MJN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,1,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 104",ALL YEAR TAGS,UBC0171S45T01040000K01,X0022OD68B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
2,5,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 104",ALL YEAR TAGS,UBC0171S45T01040000K01,X0022OD68B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
2,20,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 006",ALL YEAR TAGS,UBC0171S48T00060000K01,X0022S1TEF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
3,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 006",ALL YEAR TAGS,UBC0171S48T00060000K01,X0022S1TEF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
4,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 006",ALL YEAR TAGS,UBC0171S48T00060000K01,X0022S1TEF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
5,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 006",ALL YEAR TAGS,UBC0171S48T00060000K01,X0022S1TEF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
6,9,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 006",ALL YEAR TAGS,UBC0171S48T00060000K01,X0022S1TEF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
6,16,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 017",ALL YEAR TAGS,UBC0171S48T00170000K01,X0022P8EA5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
7,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 017",ALL YEAR TAGS,UBC0171S48T00170000K01,X0022P8EA5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
8,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 017",ALL YEAR TAGS,UBC0171S48T00170000K01,X0022P8EA5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
9,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 017",ALL YEAR TAGS,UBC0171S48T00170000K01,X0022P8EA5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
10,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 017",ALL YEAR TAGS,UBC0171S48T00170000K01,X0022P8EA5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
11,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 017",ALL YEAR TAGS,UBC0171S48T00170000K01,X0022P8EA5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
12,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 017",ALL YEAR TAGS,UBC0171S48T00170000K01,X0022P8EA5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
13,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 48","Tassel, color 017+031",ALL YEAR TAGS,UBC0171S48T00170310K01,X0022P8L71,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
