AGGREGATE_BUNDLED v2,,,,,,,,,
all SKUs are unique,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,,GradStreet SKU,FNSKU,Packaging,Labels,order
2,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 39","Tassel, color 104",ALL YEAR TAGS,,UBC0171F39T01040000K01,X0022S1TDB,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",1
6,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 42","Tassel, color 104",ALL YEAR TAGS,,UBC0171F42T01040000K01,X0022S1UNP,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",2
4,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 45","Tassel, color 006",ALL YEAR TAGS,,UBC0171F45T00060000K01,X0022P8MIJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",3
5,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 45","Tassel, color 017",ALL YEAR TAGS,,UBC0171F45T00170000K01,X0022OD29T,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",4
2,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 45","Tassel, color 017+031",ALL YEAR TAGS,,UBC0171F45T00170310K01,X0022NE9LP,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",5
8,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 45","Tassel, color 019",ALL YEAR TAGS,,UBC0171F45T00190000K01,X0022NEC8Z,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",6
5,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,,UBC0171F45T00250190K01,X0022P8KG3,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",7
9,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 45","Tassel, color 104",ALL YEAR TAGS,,UBC0171F45T01040000K01,X0022P8J0P,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",8
5,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 48","Tassel, color 006",ALL YEAR TAGS,,UBC0171F48T00060000K01,X0022P8829,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",9
8,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 48","Tassel, color 017",ALL YEAR TAGS,,UBC0171F48T00170000K01,X0022NEDCF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",10
4,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 48","Tassel, color 017+031",ALL YEAR TAGS,,UBC0171F48T00170310K01,X0022NEC8P,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",11
12,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 48","Tassel, color 019",ALL YEAR TAGS,,UBC0171F48T00190000K01,X0022R26UR,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",12
7,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 48","Tassel, color 025+019",ALL YEAR TAGS,,UBC0171F48T00250190K01,X0022OD5M3,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",13
