GradStreet 2019 Manufacturing Order:,,,,,,,,
PACKING GUIDE v8,,,,,,,,
"Shaoxing Phoebee Garment Co., Ltd.",,,,,,,,
* partially full box,,,,,,Barcode SKU,,
BOX NUMBER,Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,GradStreet SKU,FNSKU,Packaging,Labels
1,2,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 39","Tassel, color 104",ALL YEAR TAGS,UBC0171F39T01040000K01,X0022S1TDB,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,6,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 42","Tassel, color 104",ALL YEAR TAGS,UBC0171F42T01040000K01,X0022S1UNP,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,4,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 45","Tassel, color 006",ALL YEAR TAGS,UBC0171F45T00060000K01,X0022P8MIJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,5,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 45","Tassel, color 017",ALL YEAR TAGS,UBC0171F45T00170000K01,X0022OD29T,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,2,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 45","Tassel, color 017+031",ALL YEAR TAGS,UBC0171F45T00170310K01,X0022NE9LP,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
1,6,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 45","Tassel, color 019",ALL YEAR TAGS,UBC0171F45T00190000K01,X0022NEC8Z,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
2,2,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 45","Tassel, color 019",ALL YEAR TAGS,UBC0171F45T00190000K01,X0022NEC8Z,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
2,5,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,UBC0171F45T00250190K01,X0022P8KG3,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
2,9,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 45","Tassel, color 104",ALL YEAR TAGS,UBC0171F45T01040000K01,X0022P8J0P,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
2,5,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 48","Tassel, color 006",ALL YEAR TAGS,UBC0171F48T00060000K01,X0022P8829,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
2,4,"Bachelors Gown+Cap, Black, Matte NO pleats, Full Fit, size 48","Tassel, color 017",ALL YEAR TAGS,UBC0171F48T00170000K01,X0022NEDCF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
