School,Degree Type,Grouping,,VERIFIED?,GREENLIGHT?,Gown+Cap Sku,color code,Tassel Sku,Product Name,MSKU,red color means not a match
UCLA,Bachelors,Letters & Science B.A.,white,1,1,BC0171XXX,104000,T01040000,UCLA Bachelors Cap and Gown - Letters & Science B.A.,UBC0171XXXT01040000K01,
UCLA,Bachelors,Letters & Science B.S.,gold,1,1,BC0171XXX,019000,T00190000,UCLA Bachelors Cap and Gown - Letters & Science B.S.,UBC0171XXXT00190000K01,
UCLA,Bachelors,Engineering,orange,1,1,BC0171XXX,006000,T00060000,UCLA Bachelors Cap and Gown - Engineering,UBC0171XXXT00060000K01,
UCLA,Bachelors,Arts & Architecture,brown,1,1,BC0171XXX,020000,T00200000,UCLA Bachelors Cap and Gown - Arts & Architecture,UBC0171XXXT00200000K01,
UCLA,Bachelors,Theater Film & TV,brown,1,1,BC0171XXX,020000,T00200000,UCLA Bachelors Cap and Gown - Theater Film & TV,UBC0171XXXT00200000K01,
UCLA,Bachelors,Nursing,apricot2,1,1,BC0171XXX,898000,T08980000,UCLA Bachelors Cap and Gown - Nursing,UBC0171XXXT08980000K01,
UCLA,Masters,Public Policy (MPP),turquoise1,1,0,MC0177XXX,023000,T00230000,UCLA Masters Cap and Gown - Public Policy (MPP),UMC0177XXXT00230000K01,
UCLA,Masters,Business (MBA),drab,1,0,MC0177XXX,014000,T00140000,UCLA Masters Cap and Gown - Business (MBA),UMC0177XXXT00140000K01,
UCLA,Masters,Master of Arts (MA),black,1,0,MC0177XXX,017000,T00170000,UCLA Masters Cap and Gown - Master of Arts (MA),UMC0177XXXT00170000K01,
UCLA,Masters,Master of Science (MS),black,1,0,MC0177XXX,017000,T00170000,UCLA Masters Cap and Gown - Master of Science (MS),UMC0177XXXT00170000K01,
UCLA,Masters,Engineering (MEng),black,1,0,MC0177XXX,017000,T00170000,UCLA Masters Cap and Gown - Engineering (MEng),UMC0177XXXT00170000K01,
UCLA,Masters,Education (MEd),light blue,1,0,MC0177XXX,036000,T00360000,UCLA Masters Cap and Gown - Education (MEd),UMC0177XXXT00360000K01,
UCLA,Masters,Fine Arts (MFA),black,1,0,MC0177XXX,017000,T00170000,UCLA Masters Cap and Gown - Fine Arts (MFA),UMC0177XXXT00170000K01,
UCLA,Masters,Library and InfoScience (MLIS),lemon,1,0,MC0177XXX,007000,T00070000,UCLA Masters Cap and Gown - Library and InfoScience (MLIS),UMC0177XXXT00070000K01,
UCLA,Masters,Music (MM),pink,1,0,MC0177XXX,003000,T00030000,UCLA Masters Cap and Gown - Music (MM),UMC0177XXXT00030000K01,
UCLA,Masters,Public Health (MPH),salmon,1,0,MC0177XXX,009000,T00090000,UCLA Masters Cap and Gown - Public Health (MPH),UMC0177XXXT00090000K01,
UCLA,Masters,Science Nursing (MSN),black,1,0,MC0177XXX,017000,T00170000,UCLA Masters Cap and Gown - Science Nursing (MSN),UMC0177XXXT00170000K01,
UCLA,Masters,Social Welfare (MSW),citron,1,0,MC0177XXX,024000,T00240000,UCLA Masters Cap and Gown - Social Welfare (MSW),UMC0177XXXT00240000K01,
UCSB,Bachelors,All,black,1,1,BC0171XXX,017000,T00170000,UCSB Bachelors Cap and Gown,UBC0171XXXT00170000K01,
UCSB,Masters,All,black,1,1,MC0171XXX,017000,T00170000,UCSB Masters Cap and Gown,UMC0171XXXT00170000K01,
UCSD,Bachelors,All,blue1 and gold,1,1,BC0171XXX,025019,T00250190,UCSD Bachelors Cap and Gown,UBC0171XXXT00250190K01,
UCSD,Masters,All,black,1,0,MC0177XXX,017000,T00170000,UCSD Masters Cap and Gown,UMC0177XXXT00170000K01,
UCI,Bachelors,All,blue1 and gold,1,1,BC0173XXX,025019,T00250190,UCI Bachelors Cap and Gown,UBC0173XXXT00250190K01,
UCI,Masters,All,blue1 and gold,1,1,MC0173XXX,025019,T00250190,UCI Masters Cap and Gown,UMC0173XXXT00250190K01,
CSULA,Bachelors,All,black,1,1,BC0171XXX,017000,T00170000,CSULA Bachelors Cap and Gown,UBC0171XXXT00170000K01,
CSULA,Masters,All,black,1,1,MC0173XXX,017000,T00170000,CSULA Masters Cap and Gown,UMC0173XXXT00170000K01,
SDSU,Bachelors,All,black and red,1,1,BC0171XXX,017031,T00170310,SDSU Bachelors Cap and Gown,UBC0171XXXT00170310K01,
SDSU,Masters,All,black,1,1,MC0171XXX,017000,T00170000,SDSU Masters Cap and Gown,UMC0171XXXT00170000K01,
UC Berkeley,Bachelors,All,blue1 and gold,1,1,BC0171XXX,025019,T00250190,UC Berkeley Bachelors Cap and Gown,UBC0171XXXT00250190K01,
UC Berkeley,Masters,All,blue1 and gold,1,1,MC0171XXX,025019,T00250190,UC Berkeley Masters Cap and Gown,UMC0171XXXT00250190K01,
CSUF,Bachelors,School of Engineering,gold,0,1,BC0173XXX,019000,T00190000,CSUF Bachelors Cap and Gown - School of Engineering,UBC0173XXXT00190000K01,
CSUF,Bachelors,College of business & economics,drab,0,1,BC0173XXX,014000,T00140000,CSUF Bachelors Cap and Gown - College of business & economics,UBC0173XXXT00140000K01,
CSUF,Bachelors,College of communications,red,0,1,BC0173XXX,031000,T00310000,CSUF Bachelors Cap and Gown - College of communications,UBC0173XXXT00310000K01,
CSUF,Bachelors,College of the arts,white,0,1,BC0173XXX,104000,T01040000,CSUF Bachelors Cap and Gown - College of the arts,UBC0173XXXT01040000K01,
CSUF,Bachelors,College of Health & human development,white,0,1,BC0173XXX,104000,T01040000,CSUF Bachelors Cap and Gown - College of Health & human development,UBC0173XXXT01040000K01,
CSUF,Bachelors,College of Humanities and social science,white,0,1,BC0173XXX,104000,T01040000,CSUF Bachelors Cap and Gown - College of Humanities and social science,UBC0173XXXT01040000K01,
CSUF,Bachelors,College of Natural sciences and math,gold,0,1,BC0173XXX,019000,T00190000,CSUF Bachelors Cap and Gown - College of Natural sciences and math,UBC0173XXXT00190000K01,
CSUF,Bachelors,School of nursing,apricot1,0,1,BC0173XXX,015000,T00150000,CSUF Bachelors Cap and Gown - School of nursing,UBC0173XXXT00150000K01,
CSUF,Masters,College of education,light blue,0,0,MC0173XXX,036000,T00360000,CSUF Masters Cap and Gown - College of education,UMC0173XXXT00360000K01,
CSUF,Masters,College of Engineering,gold,0,0,MC0173XXX,019000,T00190000,CSUF Masters Cap and Gown - College of Engineering,UMC0173XXXT00190000K01,
CSUF,Masters,College of business & economics,drab,0,0,MC0173XXX,014000,T00140000,CSUF Masters Cap and Gown - College of business & economics,UMC0173XXXT00140000K01,
CSUF,Masters,College of communications,black,0,0,MC0173XXX,017000,T00170000,CSUF Masters Cap and Gown - College of communications,UMC0173XXXT00170000K01,
CSUF,Masters,College of the arts,black,0,0,MC0173XXX,017000,T00170000,CSUF Masters Cap and Gown - College of the arts,UMC0173XXXT00170000K01,
